summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_wait_duration,total_berth_duration,total_stay_duration
2021-01-13 00:00:00+08,2,8,10,180146,698472,878618,151.23,193.52,344.75
2021-01-13 04:00:00+08,2,9,11,180146,812578,992724,159.26,228.92,388.18
2021-01-13 08:00:00+08,2,7,9,180146,652739,832885,167.26,144.65,311.91
2021-01-13 12:00:00+08,2,9,11,180146,832494,1012640,175.21,177.53,352.74
2021-01-13 16:00:00+08,1,7,8,85517,613640,699157,65.68,123.95,189.63
2021-01-13 20:00:00+08,1,12,13,85517,1105033,1190550,93.77,135.21,228.98
2021-01-14 00:00:00+08,1,13,14,85517,1231562,1317079,97.74,158.35,256.09
2021-01-14 04:00:00+08,1,13,14,85517,1231562,1317079,101.74,210.35,312.09
2021-01-14 08:00:00+08,1,12,13,85517,1127894,1213411,105.74,225.59,331.33
2021-01-14 12:00:00+08,1,11,12,85517,1009182,1094699,109.74,213.91,323.65
2021-01-14 16:00:00+08,1,11,12,146507,1009182,1155689,28,257.91,285.91
2021-01-14 20:00:00+08,1,9,10,146507,873870,1020377,100.82,166.7,267.52
2021-01-15 00:00:00+08,1,10,11,146507,893320,1039827,104.84,170.27,275.11
2021-01-15 04:00:00+08,1,10,11,146507,902222,1048729,108.84,181.47,290.31
2021-01-15 08:00:00+08,1,3,4,146507,289179,435686,19.94,91.14,111.08
2021-01-15 12:00:00+08,1,3,4,146507,289179,435686,23.94,103.14,127.08
2021-01-15 16:00:00+08,1,2,3,146507,254984,401491,27.94,59.48,87.42
2021-01-15 20:00:00+08,1,2,3,146507,254984,401491,31.94,67.48,99.42
2021-01-16 00:00:00+08,1,2,3,146507,254984,401491,35.94,75.48,111.42
2021-01-16 04:00:00+08,1,2,3,146507,254984,401491,39.94,83.48,123.42
2021-01-16 08:00:00+08,1,2,3,146507,254984,401491,43.94,91.48,135.42
2021-01-16 12:00:00+08,0,2,2,0,254984,254984,0,99.48,99.48
2021-01-16 16:00:00+08,0,2,2,0,254984,254984,0,107.48,107.48
2021-01-16 20:00:00+08,0,2,2,0,254984,254984,0,115.48,115.48
2021-01-17 00:00:00+08,0,3,3,0,401491,401491,59.28,124.12,183.4
2021-01-17 04:00:00+08,0,3,3,0,401491,401491,59.28,136.12,195.4
2021-01-17 08:00:00+08,0,3,3,0,401491,401491,59.28,148.12,207.4
2021-01-17 12:00:00+08,0,3,3,0,401491,401491,59.28,160.12,219.4
2021-01-17 16:00:00+08,0,3,3,0,401491,401491,59.28,172.12,231.4
2021-01-17 20:00:00+08,0,3,3,0,401491,401491,59.28,184.12,243.4
2021-01-18 00:00:00+08,0,3,3,0,401491,401491,59.28,196.12,255.4
2021-01-18 04:00:00+08,0,3,3,0,401491,401491,59.28,208.12,267.4
2021-01-18 08:00:00+08,0,3,3,0,401702,401702,59.28,114.68,173.96
2021-01-18 12:00:00+08,0,9,9,0,924194,924194,59.28,46.8,106.08
2021-01-18 16:00:00+08,0,8,8,0,819594,819594,59.28,77.94,137.22
2021-01-18 20:00:00+08,0,8,8,0,939641,939641,59.28,102.63,161.91
2021-01-19 00:00:00+08,0,6,6,0,788144,788144,59.28,109,168.28
2021-01-19 04:00:00+08,0,6,6,0,787534,787534,59.28,120.08,179.36
2021-01-19 08:00:00+08,0,6,6,0,787534,787534,59.28,144.08,203.36
2021-01-19 12:00:00+08,0,6,6,0,787534,787534,59.28,168.08,227.36
2021-01-19 16:00:00+08,1,5,6,50775,691724,742499,61.89,163.12,225.01
2021-01-19 20:00:00+08,1,7,8,50775,789475,840250,65.89,183.96,249.85
2021-01-20 00:00:00+08,1,7,8,50775,789475,840250,69.89,211.96,281.85
2021-01-20 04:00:00+08,1,8,9,50775,874246,925021,73.89,243.67,317.56
2021-01-20 08:00:00+08,1,8,9,50775,833175,883950,18.61,198.75,217.36
2021-01-20 12:00:00+08,1,8,9,50775,735436,786211,22.61,168.66,191.27
2021-01-20 16:00:00+08,1,8,9,50775,735436,786211,26.61,200.66,227.27
2021-01-20 20:00:00+08,1,8,9,50775,796879,847654,30.61,216.67,247.28
2021-01-21 00:00:00+08,1,8,9,50775,885925,936700,34.61,238.14,272.75
2021-01-21 04:00:00+08,3,9,12,259763,883087,1142850,42.67,224.94,267.61
2021-01-21 08:00:00+08,3,10,13,259763,942710,1202473,54.68,261.6,316.28
2021-01-21 12:00:00+08,3,9,12,259763,884537,1144300,66.66,245.56,312.22
2021-01-21 16:00:00+08,2,6,8,156095,569266,725361,66.19,116.72,182.91
2021-01-21 20:00:00+08,2,8,10,156095,781890,937985,90.49,95.59,186.08
2021-01-22 00:00:00+08,1,8,9,50775,781890,832665,74.91,127.59,202.5
2021-01-22 04:00:00+08,1,9,10,50775,887210,937985,104.58,161.46,266.04
2021-01-22 08:00:00+08,1,9,10,50775,915039,965814,108.62,167.18,275.8
2021-01-22 12:00:00+08,1,10,11,50775,972359,1023134,112.61,204.35,316.96
2021-01-22 16:00:00+08,0,9,9,0,912736,912736,42,211.68,253.68
2021-01-22 20:00:00+08,0,7,7,0,704332,704332,119.96,143.52,263.48
2021-01-23 00:00:00+08,0,7,7,0,704332,704332,119.96,171.52,291.48
2021-01-23 04:00:00+08,0,7,7,0,704332,704332,119.96,199.52,319.48
2021-01-23 08:00:00+08,0,6,6,0,481100,481100,103.67,129.8,233.47
2021-01-23 12:00:00+08,0,7,7,0,646522,646522,103.67,155.1,258.77
2021-01-23 16:00:00+08,0,5,5,0,457167,457167,103.65,107.41,211.06
2021-01-23 20:00:00+08,0,6,6,0,562374,562374,103.64,113.69,217.33
2021-01-24 00:00:00+08,0,5,5,0,533355,533355,0,66.87,66.87
2021-01-24 04:00:00+08,1,5,6,146648,533355,680003,1.64,86.87,88.51
2021-01-24 08:00:00+08,1,5,6,146648,533355,680003,5.64,106.87,112.51
2021-01-24 12:00:00+08,0,4,4,0,452105,452105,0,110.62,110.62
2021-01-24 16:00:00+08,0,5,5,0,540622,540622,11.22,71.94,83.16
2021-01-24 20:00:00+08,0,6,6,0,648728,648728,11.22,92.18,103.4
2021-01-25 00:00:00+08,0,6,6,0,648728,648728,11.22,116.18,127.4
2021-01-25 04:00:00+08,0,5,5,0,598121,598121,11.22,107.97,119.19
2021-01-25 08:00:00+08,0,6,6,0,706336,706336,11.22,128.29,139.51
2021-01-25 12:00:00+08,0,6,6,0,706336,706336,11.22,152.29,163.51
2021-01-25 16:00:00+08,0,6,6,0,706336,706336,11.22,176.29,187.51
2021-01-25 20:00:00+08,0,6,6,0,679096,679096,11.22,176.35,187.57
2021-01-26 00:00:00+08,0,8,8,0,766343,766343,11.2,194.44,205.64
2021-01-26 04:00:00+08,0,8,8,0,766343,766343,11.2,226.44,237.64
2021-01-26 08:00:00+08,0,8,8,0,766343,766343,11.2,258.44,269.64
2021-01-26 12:00:00+08,0,8,8,0,766343,766343,11.2,290.44,301.64
2021-01-26 16:00:00+08,0,6,6,0,607259,607259,11.2,241.81,253.01
2021-01-26 20:00:00+08,0,6,6,0,684105,684105,11.2,166.52,177.72
2021-01-27 00:00:00+08,1,7,8,114108,769911,884019,14.02,232.52,246.54
2021-01-27 04:00:00+08,1,9,10,114108,868265,982373,18.02,215.2,233.22
2021-01-27 08:00:00+08,1,10,11,114108,881326,995434,22.02,253.13,275.15
2021-01-27 12:00:00+08,1,9,10,114108,795813,909921,14.82,170.36,185.18
2021-01-27 16:00:00+08,1,10,11,114108,830102,944210,18.82,209.77,228.59
2021-01-27 20:00:00+08,1,9,10,114108,841720,955828,22.81,187.71,210.52
2021-01-28 00:00:00+08,2,8,10,259345,756885,1016230,67.86,200.31,268.17
2021-01-28 04:00:00+08,1,8,9,145237,785187,930424,73.97,164.2,238.17
2021-01-28 08:00:00+08,1,7,8,145237,786682,931919,77.97,146.86,224.83
2021-01-28 12:00:00+08,1,5,6,145237,596442,741679,81.97,97.45,179.42
2021-01-28 16:00:00+08,1,5,6,145237,596442,741679,85.97,117.45,203.42
2021-01-28 20:00:00+08,1,5,6,145237,596442,741679,89.97,137.45,227.42
2021-01-29 00:00:00+08,1,9,10,145237,945362,1090599,113.78,167.82,281.6
2021-01-29 04:00:00+08,1,9,10,145237,945362,1090599,117.78,203.82,321.6
2021-01-29 08:00:00+08,1,9,10,145237,945362,1090599,121.78,239.82,361.6
2021-01-29 12:00:00+08,1,9,10,145237,945362,1090599,125.78,275.82,401.6
2021-01-29 16:00:00+08,1,7,8,145237,813781,959018,110,246.74,356.74
2021-01-29 20:00:00+08,2,7,9,260937,808673,1069610,88.7,233.04,321.74
2021-01-30 00:00:00+08,1,7,8,145237,808673,953910,89.06,261.04,350.1
2021-01-30 04:00:00+08,1,8,9,145237,924373,1069610,104.43,289.31,393.74
