summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_moor_duration,total_berth_duration,total_stay_duration,average_moor_duration,average_berth_duration,average_stay_duration
2021-09-24 12:00:00+00:00,50.17401595423327,118.71059237383125,168.88460832806447,508091.5141479975,945540.746617457,1453632.2607654547,5615.777751408548,5243.988810921683,14601.537551977151,112.16334009617948,44.228962792538134,86.47904160311907
2021-09-24 16:00:00+00:00,49.800832003732715,120.26960476975671,170.07043677348943,500535.9353857334,970634.1879899346,1471170.123375668,5635.232930763972,5248.995001808331,14442.939068276923,113.34875001277587,43.66860125270286,84.93278774334419
2021-09-24 20:00:00+00:00,51.229337073968125,118.83356377550257,170.06290084947068,517345.20168513386,974074.2459275622,1491419.4476126959,5618.427597896034,5278.162344832674,14255.993724654412,109.91770537685511,44.43611055838009,83.8205057014392
2021-09-25 00:00:00+00:00,51.877999993254285,115.87072583202725,167.7487258252815,531663.1930818837,964869.0203545114,1496532.213436395,5572.091865284488,5212.477819231645,13895.347640467087,107.61097818649026,44.99121892093355,82.81774695785808
2021-09-25 04:00:00+00:00,50.82199773108331,114.13211717703459,164.9541149081179,526718.3934826913,946712.5396357115,1473430.933118403,5575.216960788499,5123.643638264461,13466.865832915359,109.94909457860633,44.901209438592616,81.64260615717487
2021-09-25 08:00:00+00:00,50.696343491567355,114.63458018712541,165.33092367869278,526682.9229857782,944055.4175792418,1470738.34056502,5636.849288915109,5017.451495456357,13153.185423580879,111.47276515851306,43.814425422071004,79.63401594441447
2021-09-25 12:00:00+00:00,52.74474398995713,117.11728891398477,169.8620329039419,548272.4406134761,977804.3783410236,1526076.8189545,5716.463996588568,4948.940378141645,13112.73988665341,108.66587175101762,42.30977332478483,77.28309497390418
2021-09-25 16:00:00+00:00,54.891293991538376,118.50736358171022,173.39865757324858,570875.60595021,998578.5959273248,1569454.2018775349,5799.234529499196,5005.068650414043,13259.107374535746,105.75597806472229,42.27785711706264,76.49299301828219
2021-09-25 20:00:00+00:00,55.90003996314591,117.8751989786531,173.77523894179902,578958.8729479882,975105.2129675606,1554064.085915549,5878.180441331031,5052.880405995931,13305.252702532202,105.18981224090736,42.91781198792692,76.5824576488233
2021-09-26 00:00:00+00:00,55.63056672252536,118.28898604607306,173.91955276859844,574205.1069893802,943301.125979128,1517506.2329685083,5933.86409137183,4944.682028093793,13107.684721065893,106.7069112050464,41.85318782349194,75.3826143420294
2021-09-26 04:00:00+00:00,54.87887109011561,117.23566591788544,172.11453700800107,569917.0977898308,900057.8591891469,1469974.9569789777,5969.049055317477,4658.827340478925,12585.276913114118,108.79715953869707,39.726972869339974,73.09231848507257
2021-09-26 08:00:00+00:00,54.353261743967344,112.8215178564358,167.17477960040316,574366.0516001544,845549.0809854323,1419915.1325855865,6024.389314775219,4267.822708586558,11934.319649501254,110.87551297993079,37.80285559750065,71.35574206173251
2021-09-26 12:00:00+00:00,53.447552709008335,112.11333240483415,165.5608851138425,575224.2285182948,841463.6918296649,1416687.9203479597,6067.9264236398585,4067.02688692732,11686.564452497289,113.61723566601756,36.3102497968909,70.59523916113861
2021-09-26 16:00:00+00:00,52.290857907763446,113.43402618244133,165.7248840902048,565634.6809284253,869235.3797785663,1434870.0607069915,6089.831411660247,4127.453816139929,11767.39288017893,116.56924521608926,36.471098647334216,71.07084564724904
2021-09-26 20:00:00+00:00,50.97322613720202,109.61918837801608,160.59241451521808,550438.4143925998,843094.1277945295,1393532.5421871296,6105.207205451141,4214.753144038898,11765.003872133206,120.07205559052558,38.64145323972377,73.46293365956717
2021-09-27 00:00:00+00:00,48.10903649275237,102.93705999409194,151.0460964868443,524904.9304356965,772238.3326617049,1297143.2630974012,6029.307691361008,4206.244333444352,11570.472108936574,125.9892503233024,41.0052580056004,76.83824854190172
2021-09-27 04:00:00+00:00,45.35056757089647,99.29258927796542,144.64315684886188,498489.7262398767,714116.5363864265,1212606.2626263034,5880.456561587777,4140.20362650726,11363.48638080775,130.44051920055006,41.748781126869964,78.71131246934411
2021-09-27 08:00:00+00:00,46.96339381086524,101.31955646001131,148.28295027087657,498536.77208740846,700365.7456089966,1198902.517696405,5829.055726181912,4117.35438805103,11418.816364603432,125.78366260959666,40.75195946122332,77.31183535485516
2021-09-27 12:00:00+00:00,52.511292231492185,108.4654855167611,160.97677774825326,523932.7482425862,735704.7268710171,1259637.4751136033,5922.931531234455,4219.927083136983,11839.853405698588,114.39228668250466,39.060591767662615,73.91266896018325
2021-09-27 16:00:00+00:00,56.79521130281081,114.50699845505805,171.30220975786887,542401.5306621867,771717.8012799444,1314119.3319421308,6078.244788423257,4386.248304369978,12305.466489877173,107.45591317254096,38.38907540424755,71.98551709335001
2021-09-27 20:00:00+00:00,58.05677222789899,113.34409996150913,171.40087218940812,538212.7585834787,754680.4533957479,1292893.2119792267,6170.4780406718,4419.508999396269,12408.238733354272,106.34027548009522,39.03911136261861,72.45202777833107
2021-09-28 00:00:00+00:00,58.18258727908106,107.59882138070813,165.78140865978918,521498.5926109379,715447.8919704284,1236946.4845813662,6062.85708478967,4241.2006798064585,11990.19717461595,104.24211758298189,39.458601264339634,72.33497279048783
2021-09-28 04:00:00+00:00,58.06245144566792,101.05512492811735,159.11757637378525,502718.52040988015,674776.5178477145,1177495.0382575947,5820.201648191298,4044.2477691079766,11360.621991110007,100.29661014020891,40.188095948584376,71.4825866430231
2021-09-28 08:00:00+00:00,58.3606169327312,96.13010054220112,154.49071747493232,507379.28761367325,625279.9738534596,1132659.2614671327,5731.004361414143,3940.9835874604537,11082.141265697264,98.31377689481711,41.19678428991698,71.88620692999925
2021-09-28 12:00:00+00:00,60.32115214931204,97.10673081972922,157.42788296904126,554160.9669384346,608627.4680565852,1162788.4349950198,5831.378964372225,3909.130107246371,11248.624182457406,96.88465691485848,40.42694564594794,71.61622041722191
2021-09-28 16:00:00+00:00,61.77822826195852,99.68633131711243,161.46455957907094,606923.7296848589,625707.2290708597,1232630.958755719,5973.258214848021,3951.2724229565574,11555.588575366171,96.98388763544258,39.79039352239728,71.76413155015368
2021-09-28 20:00:00+00:00,60.86846004707234,96.60235447006261,157.47081451713495,625593.1717415629,627062.0796075223,1252655.2513490852,6076.837503776736,3964.8458195686544,11716.341053309548,100.15562768870322,41.26361936164536,74.65566310554789
2021-09-29 00:00:00+00:00,59.23270066181689,92.17359984492037,151.40630050673727,618978.9163061318,643396.8370629698,1262375.7533691018,6135.4883055653045,3882.0546186721203,11739.056398134386,103.91408263000395,42.29055951856152,77.65349178446533
2021-09-29 04:00:00+00:00,56.80304659553234,92.80720669064459,149.61025328617697,596381.2387234359,684611.1516906996,1280992.3904141355,6160.4577728934,3777.1491370276776,11751.580545842,108.87466345720924,40.83476243783617,78.58466291960764
2021-09-29 08:00:00+00:00,55.513713130649705,96.36332459730482,151.87703772795453,581273.9032915084,703926.8768450835,1285200.7801365922,6205.218979866436,3717.147835091877,11833.632176202107,112.09868708180923,38.66294567294775,77.98375667787059
2021-09-29 12:00:00+00:00,56.438553542408684,100.12328749056414,156.56184103297284,581344.4574798233,705530.912505155,1286875.3699849783,6298.681755793474,3701.4146524980806,11953.723507540986,111.82855740517454,37.01653068550732,76.4215847114425
2021-09-29 16:00:00+00:00,56.58632887076867,103.0669070366503,159.653235907419,572047.8062884553,706556.7218668131,1278604.5281552684,6410.882863843828,3732.371488695391,12034.202185563583,113.44205502383369,36.22571104374561,75.39832232975584
2021-09-29 20:00:00+00:00,55.39368674673594,104.73060792414897,160.1242946708849,556465.8989660994,710460.183459109,1266926.0824252085,6508.824518151145,3852.4296347687623,12172.349253169257,117.64707498250668,36.79962333714356,76.03987746067773
2021-09-30 00:00:00+00:00,53.61299690759548,105.03670496601848,158.64970187361394,542629.74769174,722984.2026478058,1265613.950339546,6527.695438535833,3995.55925892293,12324.733276283081,121.95375551736895,38.075748699167264,77.72744297437583
2021-09-30 04:00:00+00:00,51.37733500062426,104.63405001480504,156.0113850154293,529471.1453196886,740143.559893149,1269614.7052128376,6437.098817393955,4096.4144867500145,12428.00161337695,125.45925238767994,39.2078724796057,79.73495748297478
2021-09-30 08:00:00+00:00,49.48101584941491,102.97016485977412,152.451180709189,518093.03018710413,727457.84925581,1245550.8794429142,6298.468459179117,4143.707488496868,12483.885945404712,127.37465357176168,40.29538173112895,81.95915785435605
2021-09-30 12:00:00+00:00,47.72827778966333,102.4517644642022,150.18004225386554,496146.19342548633,700942.8887774498,1197089.082202936,6117.762884821763,4156.6527615462,12454.628860065219,128.26356468268378,40.601183483715985,82.97264174030529
2021-09-30 16:00:00+00:00,46.998627097753975,104.10335382277827,151.10198092053224,470153.43463215453,703722.9599458072,1173876.3945779619,5918.366370477215,4195.4911054111835,12425.040742218907,126.18255806636226,40.37419485106224,82.32061199168385
2021-09-30 20:00:00+00:00,48.655485832846935,103.82618274915389,152.48166858200085,471541.5011918361,708681.6497542311,1180223.1509460672,5796.189567154331,4257.488021767076,12428.7828105469,119.61328219940317,41.22602529960537,81.64413234899098
2021-10-01 00:00:00+00:00,50.98238418045361,98.45659083449999,149.4389750149536,492616.38349223486,676912.4025161663,1169528.7860084008,5732.069251531784,4258.473188799497,12394.747943619506,112.71193772274557,43.51718005647135,83.08199011098554
2021-10-01 04:00:00+00:00,52.4971836203623,94.02494286611883,146.52212648648114,509358.9936717473,652045.1254059224,1161404.1190776697,5752.947449667081,4230.5119676353115,12448.442676012972,109.6749988914669,45.1140755762556,85.04928716893829
2021-10-01 08:00:00+00:00,53.24576271483429,91.8121344316533,145.0578971464876,518128.40330744453,645053.2889885686,1163181.692296013,5826.73463167072,4244.611863355396,12465.02375097246,109.53712623211733,46.383450803356425,86.04600610742307
2021-10-01 12:00:00+00:00,53.964170655087024,89.11074093201769,143.0749115871047,530489.3528183294,629668.3192679405,1160157.6720862698,5888.693564536063,4287.701164552442,12376.901919512437,109.34909975145223,48.26804776267108,86.6385244204287
2021-10-01 16:00:00+00:00,55.80507697082787,89.13295734476212,144.93803431559002,560228.8599093835,636075.5061795046,1196304.3660888881,5917.891484490981,4364.723324577091,12396.404629561948,106.3271017997981,49.034692773818,85.6521083462099
2021-10-01 20:00:00+00:00,56.21758369452214,90.79227551428603,147.00985920880817,572490.2579809683,657699.6908534504,1230189.9488344188,5791.902494574402,4465.727135337311,12372.819879991788,103.18703778953693,49.22855902705986,84.23715642921375
2021-10-02 00:00:00+00:00,54.17051440555333,90.0641647257542,144.23467913130753,556464.3760788478,659091.9975165238,1215556.3735953718,5527.360522237566,4511.3117476021525,12100.854363884468,102.16408440548236,50.14342543138771,83.92375722096607
2021-10-02 04:00:00+00:00,52.4402336642334,88.97090107608138,141.41113474031476,546961.4614273224,655764.3429968099,1202725.8044241322,5364.380630607731,4448.292405401296,11925.83733070485,102.44013377553281,50.07202055148582,84.32850945913594
2021-10-02 08:00:00+00:00,51.45795701740066,91.42973913212482,142.88769614952548,545599.671828748,689981.1678974685,1235580.8397262166,5365.3075264316885,4407.366732202697,12199.570456170532,104.4263062641881,48.31535142684316,85.38100417113611
2021-10-02 12:00:00+00:00,52.06381235030735,95.15331800658178,147.21713035688913,553357.3971298317,733234.1635520307,1286591.5606818623,5460.419914537306,4488.874491746581,12532.663353384678,105.10673046478632,47.232790586532204,85.19349769847977
2021-10-02 16:00:00+00:00,53.36084073141547,95.30502707274772,148.6658678041632,560077.8653073353,746370.4748583126,1306448.3401656477,5568.730962477981,4597.454478698388,12592.139619750567,104.68166463944075,48.33769184821627,84.83967588171726
2021-10-02 20:00:00+00:00,51.99374532189486,91.35339412306273,143.34713944495758,533189.9888555601,725835.5248542645,1259025.5137098245,5614.509144029385,4660.851407148115,12522.563739546764,108.52191743088761,51.236769374140174,87.68984581372544
2021-10-03 00:00:00+00:00,49.05137918371844,85.96224144596263,135.01362062968107,492980.65388557606,682533.4917389964,1175514.1456245724,5633.413900787184,4625.909355857904,12366.861095204173,115.28514212736052,53.97487930336529,91.865682426699
2021-10-03 04:00:00+00:00,47.52992677693109,83.19911319420464,130.72903997113573,472827.9773819519,667745.9761603865,1140573.9535423385,5688.901003600462,4502.990964907411,12192.208135558652,119.8155799811152,54.19297181923393,93.33849197598511
2021-10-03 08:00:00+00:00,47.289717825747196,85.37211134959865,132.66182917534582,469042.6432938019,703693.4679448165,1172736.1112386186,5732.265337591769,4452.164821449975,12203.608935125114,121.36396855097355,52.281962484218624,92.09197719781845
2021-10-03 12:00:00+00:00,48.1896484128508,90.65043416431467,138.84008257716548,475606.61222658237,746727.9012298672,1222334.5134564494,5730.325601445066,4546.786538247183,12377.884389032959,119.38476157685523,50.26440870100099,89.33302975750155
2021-10-03 16:00:00+00:00,50.47038234799972,95.06089194593113,145.53127429393084,492796.3753009642,758198.094681415,1250994.469982379,5712.375683327003,4688.635038365646,12550.251231668248,113.66380291414461,49.35055782755133,86.35977365812226
2021-10-03 20:00:00+00:00,51.88591792837495,97.10210355859056,148.98802148696552,504822.8446347107,751293.6336567116,1256116.4782914221,5693.122216383921,4776.960203910103,12595.241810638676,109.84953591584284,49.20012097245723,84.56825892918181
2021-10-04 00:00:00+00:00,52.08858172719019,97.65313468542078,149.74171641261097,514108.97431098024,742546.5164667421,1256655.4907777223,5739.430197341443,4792.2645363459815,12594.66620368975,110.23280223723546,49.07888146846253,84.11573864313536
2021-10-04 04:00:00+00:00,51.49586566779235,98.16339558253641,149.65926125032877,513357.65283279726,733366.5978193122,1246724.2506521093,5832.324327636594,4808.619236489923,12657.603610182281,113.41440629767872,49.00484903999161,84.58700486042616
2021-10-04 08:00:00+00:00,50.07088573184949,101.23979543990305,151.31068117175255,503318.49425157683,750024.1188114681,1253342.6130630448,5834.097319676134,4938.667926712082,12843.494609886762,116.62836001280593,48.84657269596103,84.90511132267221
2021-10-04 12:00:00+00:00,48.735736143868806,104.87494787960213,153.61068402347095,502463.8747598985,779327.1367344933,1281791.0114943916,5515.937649688467,5160.208407097591,12896.03824155346,113.03513454149041,49.30170954574959,83.96055350086965
2021-10-04 16:00:00+00:00,47.201108851170176,103.91787139397125,151.11898024514142,503863.3066478055,778209.501662478,1282072.8083102838,4931.526646956803,5323.156106217374,12548.410593605331,104.29742397896003,51.350668415794956,83.04148316631415
2021-10-04 20:00:00+00:00,44.9925444097086,99.28427747310806,144.27682188281668,489843.5245284079,760428.7598842459,1250272.2844126541,4518.263397904444,5302.997709960224,12054.649612322375,100.45648130732641,53.5146504662234,83.60142739649348
2021-10-05 00:00:00+00:00,43.57656047152571,93.58311362192292,137.15967409344864,477603.1029911844,737949.1405957453,1215552.24358693,4340.890220532972,5117.8990148859775,11583.39509458963,99.71474901660409,54.75143915669402,84.48391817139577
2021-10-05 04:00:00+00:00,43.96979795634448,90.56818737721377,134.53798533355825,480635.6613462791,718628.6988040959,1199264.360150375,4295.0827738927965,4958.004117528521,11388.51287164109,97.79110908701486,54.826501194359835,84.68366467896469
2021-10-05 08:00:00+00:00,44.70503001053161,93.1396999024348,137.84472991296641,485486.59214692644,725738.6205564515,1211225.212703378,4298.101130770898,4936.014635710295,11517.760339309589,96.30338874925889,53.25002038921836,83.67453012591986
2021-10-05 12:00:00+00:00,46.2021348627661,97.84887459062794,144.05100945339404,490192.97683932923,743861.2134010487,1234054.190240378,4341.121313893264,5018.382645660047,11797.59005163266,94.41172885431428,51.533182906374705,82.01830147216775
2021-10-05 16:00:00+00:00,48.76007287172281,97.50635147740948,146.26642434913225,496509.37442990637,719053.9882203102,1215563.3626502166,4415.12061490437,5116.276921654472,12030.575953234194,90.99490733145042,52.66818191209683,82.3486404185817
2021-10-05 20:00:00+00:00,48.983482278044335,93.664437341117,142.6479196191613,484480.1477637646,674618.9552646326,1159099.1030283973,4410.778814441711,5204.345993589525,12150.769901091388,90.28509622483861,55.73703904516189,85.33771782715837
2021-10-06 00:00:00+00:00,46.860786799417944,89.74892606726692,136.60971286668484,460037.36607646826,646492.9394775173,1106530.3055539853,4280.044690968644,5269.875072450617,12092.515860181422,91.4609558583758,58.914302434558344,88.66556934295215
2021-10-06 04:00:00+00:00,45.40782820083675,86.60231634351533,132.0101445443521,452353.63546578086,627286.8668792831,1079640.502345064,4157.218097540772,5303.690601319796,11875.07107575329,91.61455682916852,61.43865980703171,90.03869091658532
2021-10-06 08:00:00+00:00,44.36666147198986,87.91367409243321,132.28033556442307,451024.2173484465,652499.1025795015,1103523.319927948,4140.875368255242,5343.31288865926,11711.532550802669,93.55624704018584,61.03684296010644,88.63203426879889
2021-10-06 12:00:00+00:00,42.449479797362855,92.85837628609966,135.30785608346253,435539.44268774625,715727.4906282036,1151266.93331595,4175.18403111067,5480.719812906322,11809.361640694431,98.75263777382256,59.22009092703689,87.35003328407538
2021-10-06 16:00:00+00:00,40.97759717446758,95.19761763341175,136.17521480787934,423263.9683657072,737460.4063850228,1160724.37475073,4199.518821096537,5686.356583231323,12064.912772199634,102.74702536248435,59.80444850639357,88.64617945872772
2021-10-06 20:00:00+00:00,40.1346605928545,93.80987912116478,133.9445397140193,413198.1094188801,713614.7604586296,1126812.8698775095,4114.402025060064,5839.844567294532,12216.164175479296,102.65655511093479,62.3697296290694,91.33026363714033
2021-10-07 00:00:00+00:00,38.3455121966399,89.78325074560388,128.12876294224378,388915.54545638384,685244.4394098455,1074159.9848662294,3935.9560817199026,5862.372602060617,12143.574245585252,102.76477210710273,65.55146093558812,95.06983181536647
2021-10-07 04:00:00+00:00,36.9843765805259,85.58354503066062,122.56792161118653,375476.5994744407,672633.8819205993,1048110.48139504,3862.9971830511327,5738.211495815078,12032.118246233182,104.50579030547601,67.31604391479814,98.42244028966485
2021-10-07 08:00:00+00:00,36.981740474632375,86.26305126948506,123.24479174411744,380709.5035051358,693818.0830798326,1074527.5865849685,3922.2919257202966,5536.452019717665,12022.34647387838,106.07565057984377,64.5741668847428,97.7997927901331
2021-10-07 12:00:00+00:00,37.211906796946984,90.16826697442198,127.38017377136897,386300.5631825765,719714.233621306,1106014.7968038826,4027.5741448182616,5451.444007912263,12137.385124415243,108.29088272206035,60.75753771034934,95.47909168423034
2021-10-07 16:00:00+00:00,37.32738034508524,91.0956332716313,128.42301361671653,384818.21581888245,705381.509842452,1090199.7256613343,4113.946926062174,5492.920287746365,12175.748612036956,110.29427800874016,60.40652382898304,94.87984801085199
2021-10-07 20:00:00+00:00,37.677065023706625,89.58706934330715,127.26413436701378,383549.4384400324,672474.0577975133,1056023.4962375457,4087.385097676723,5489.7753233521335,11894.276123146565,108.51453154582265,61.3208755347044,93.45993329144883
2021-10-08 00:00:00+00:00,37.83901147383253,86.96826052169882,124.80727199553135,378111.3915681846,652604.5466845486,1030715.9382527332,3946.99018842835,5362.12646983138,11398.04535854291,104.30442334700845,61.72864261685086,91.32853946873212
2021-10-08 04:00:00+00:00,38.25230802099576,83.37335732334068,121.62566534433645,371607.7264374606,641417.2395189204,1013024.965956381,3868.7106245003597,5185.459540013098,11062.882721051901,101.19693535658298,62.35694998315745,91.01523047911792
2021-10-08 08:00:00+00:00,38.771067444185576,83.76021603772992,122.5312834819155,368912.44945913827,658039.6781426689,1026952.1276018071,3880.8395855917734,5079.7919419284335,11079.246648773198,100.23942662279664,61.06083972904734,90.5834011902569
2021-10-08 12:00:00+00:00,39.65121754786635,90.48611528649302,130.13733283435937,372071.7576071976,714677.518280816,1086749.2758880137,3934.541135052591,5111.119684492263,11385.109956886336,99.6239149206083,56.982958943129475,87.80514245737098
2021-10-08 16:00:00+00:00,42.22742027781524,97.62358053416617,139.8510008119814,392686.57082616433,762423.0168376007,1155109.587663765,4008.3170550105306,5256.168939450623,11766.031756671418,95.62695331461609,54.005816793626934,84.35573982107657
2021-10-08 20:00:00+00:00,43.75960752898649,101.4107121038912,145.17031963287766,405614.1959881412,786954.9575256227,1192569.1535137638,4007.67463252986,5428.621727716098,12023.998904586233,92.22205952389434,53.545075712769986,82.89610559982836
2021-10-09 00:00:00+00:00,41.672624541150455,103.071386231148,144.74401077229845,383450.42749944027,814222.3215602236,1197672.749059664,3920.517848997424,5570.350215000248,12120.080158395998,94.75754375627028,54.08164165878206,83.78067576276092
2021-10-09 04:00:00+00:00,40.011300712662965,101.79718498691243,141.80848569957539,362902.98533591145,815233.6905615159,1178136.6758974274,3902.1418385094203,5595.395250793117,12078.33895526486,97.95320084708166,55.13074889588457,85.23737198897155
